##---File: sp/PHR1731-2216_6D220701HD.fits
#angstro      ---    
#Wavelen     Value   
 6651.0  7.08327e+00
 6651.8  1.33556e+01
 6652.6  8.77237e+00
 6653.4 -1.96297e-01
 6654.2  1.81774e+01
 6655.0  1.56326e+01
 6655.7 -1.67503e+00
 6656.5 -3.59818e-01
 6657.3  7.17370e+00
 6658.1  1.06683e+01
 6658.9  2.17074e+01
 6659.7  1.48914e+01
 6660.5  1.09911e+01
 6661.3  7.68723e+00
 6662.1  1.82107e+01
 6662.9  1.06526e+01
 6663.7  3.97275e+00
 6664.5  1.45487e+01
 6665.3  1.54520e+01
 6666.1  2.36468e+01
 6666.9  1.51853e+01
 6667.7  1.62132e+01
 6668.4  7.60914e+00
 6669.2  3.45703e-01
 6670.0  1.54855e+01
 6670.8  1.85557e+01
 6671.6  1.58271e+01
 6672.4  1.56944e+01
 6673.2  1.94590e+01
 6674.0  9.03272e+00
 6674.8  1.09163e+01
 6675.6  1.25550e+01
 6676.4  1.36092e+01
 6677.2  1.84680e+01
 6678.0  1.09103e+01
 6678.8  1.03349e+01
 6679.6  1.24676e+01
 6680.4  2.09470e+01
 6681.1  3.14564e+01
 6681.9  9.50742e+00
 6682.7  1.20353e+01
 6683.5 -2.92057e+00
 6684.3  5.71138e+00
 6685.1  1.01034e+01
 6685.9  1.86743e+01
 6686.7  1.16231e+01
 6687.5  8.17452e+00
 6688.3  1.05318e+01
 6689.1  4.66792e+00
 6689.9  2.63210e+00
 6690.7  1.99228e+01
 6691.5  1.21427e+01
 6692.3  9.87115e+00
 6693.1  1.24613e+01
 6693.8  9.62221e+00
 6694.6  8.17329e-01
 6695.4  3.15008e+00
 6696.2  2.81432e+01
 6697.0  2.71699e+01
 6697.8  1.82721e+01
 6698.6  7.07426e+00
 6699.4  2.20434e+00
 6700.2  2.90341e+01
 6701.0  1.28231e+01
 6701.8  1.50969e+01
 6702.6  2.76291e+01
 6703.4  2.60704e+01
 6704.2  3.67091e+00
 6705.0 -3.64001e+00
 6705.8  1.03493e+01
 6706.5  1.04078e+01
 6707.3  1.02940e+01
 6708.1  2.09662e+01
 6708.9  1.31749e+01
 6709.7  1.86287e+01
 6710.5  2.39999e+01
 6711.3  1.78630e+01
 6712.1  1.73648e+01
 6712.9  8.25321e+00
 6713.7  1.08941e+01
 6714.5  1.83801e+01
 6715.3  8.59344e-01
 6716.1  2.14503e+01
 6716.9  3.78589e+01
 6717.7  4.15973e+01
 6718.5  6.14790e+01
 6719.2  4.62896e+01
 6720.0  2.48209e+01
 6720.8  1.69330e+01
 6721.6  1.26437e+01
 6722.4 -9.63654e-01
 6723.2  1.08808e+01
 6724.0  4.10198e+00
 6724.8  1.31674e+01
 6725.6  1.30999e+01
 6726.4  8.85503e+00
 6727.2  2.02220e+01
 6728.0  7.40862e+00
 6728.8  1.31465e+01
 6729.6  1.36499e+01
 6730.4  1.36527e+01
 6731.2  1.00685e+01
 6731.9  3.48934e+01
 6732.7  4.76513e+01
 6733.5  4.87977e+01
 6734.3  2.34439e+01
 6735.1  2.36158e+01
 6735.9  5.75021e+00
 6736.7  6.47233e+00
 6737.5  1.77087e+01
 6738.3  6.66100e+00
 6739.1  1.42415e+01
 6739.9  1.60373e+01
 6740.7  2.22135e+01
 6741.5  1.69758e+01
 6742.3  9.87961e+00
 6743.1  4.53575e+00
 6743.9 -2.97830e+00
 6744.6  6.43929e+00
 6745.4  2.58099e+01
 6746.2  2.70223e+01
 6747.0  1.17903e+01
 6747.8  1.51173e+01
 6748.6  1.08625e+01
 6749.4 -1.43515e+00
 6750.2 -1.72258e+00
 6751.0  6.81011e+00
 6751.8  1.36784e+01
 6752.6  2.29113e+01
 6753.4  1.24036e+01
 6754.2  3.96157e+00
 6755.0  1.16441e+01
 6755.8  2.80866e+01
 6756.6  2.59533e+01
 6757.3  6.84465e+00
 6758.1  1.23336e+01
 6758.9  1.83737e+01
 6759.7  6.57521e+00
 6760.5  1.24157e+01
 6761.3  1.09627e+01
 6762.1  2.30497e+01
 6762.9  2.25164e+01
 6763.7  1.91621e+01
 6764.5  7.08630e+00
 6765.3  5.55581e+00
 6766.1  1.63802e+01
 6766.9  9.24467e+00
 6767.7  5.03010e+00
 6768.5  1.38089e+01
 6769.3  1.27422e+01
 6770.0  9.80576e+00
 6770.8  1.00190e+01
 6771.6  1.10764e+01
 6772.4  2.54134e+01
 6773.2  8.00688e+00
 6774.0  1.14286e+01
 6774.8  5.03407e+00
 6775.6  1.91891e+01
 6776.4  7.24332e+00
 6777.2  2.13227e+00
 6778.0  1.24827e+01
 6778.8  1.90695e+01
 6779.6 -1.08268e+01
 6780.4  5.24346e+00
 6781.2  1.39234e+01
 6782.0 -5.05960e+00
 6782.7  2.67707e+00
 6783.5  1.67167e+01
 6784.3  1.57814e+01
 6785.1  8.37861e+00
 6785.9  8.92677e+00
 6786.7  1.14093e+01
 6787.5  1.47797e+01
 6788.3  1.62481e+01
 6789.1  2.20897e+00
 6789.9  5.51468e-01
 6790.7  2.70679e+01
 6791.5  5.04641e+00
 6792.3  1.41343e+01
 6793.1  1.78182e+01
 6793.9  1.38764e+01
 6794.7  1.19607e+01
 6795.4  7.53544e+00
 6796.2  1.28681e+01
 6797.0  8.41225e+00
 6797.8  1.76181e+01
 6798.6  5.96643e+00
 6799.4  1.51445e+01
 6800.2 -7.07764e-01
 6801.0 -5.73082e+00
 6801.8  1.84400e+01
 6802.6  9.29273e+00
 6803.4 -8.36273e-01
 6804.2  1.89048e+00
 6805.0  1.10518e+01
 6805.8  4.20928e+00
 6806.6  1.39561e+00
 6807.4  1.19364e+01
 6808.2  6.51935e+00
 6808.9  1.48661e+01
 6809.7  1.67892e+01
 6810.5  1.62192e+01
 6811.3 -1.14640e+01
 6812.1 -1.46422e+01
 6812.9  1.53745e+01
 6813.7  5.75840e+00
 6814.5  1.32132e+01
 6815.3  1.00975e+01
 6816.1  5.55045e+00
 6816.9  1.16339e+01
 6817.7  1.39230e+01
 6818.5  7.85226e+00
 6819.3  5.91089e+00
 6820.1 -7.11983e-01
 6820.9  1.59095e+01
 6821.6  1.50942e+01
 6822.4  1.13017e+01
 6823.2  6.55439e+00
 6824.0 -3.61138e+00
 6824.8  1.03535e+01
 6825.6  2.59771e+01
 6826.4  8.94621e+00
 6827.2  2.41711e+01
 6828.0  1.65100e+01
 6828.8  2.76570e+01
 6829.6  1.26755e+01
 6830.4  2.64489e+01
 6831.2  2.14942e+01
 6832.0  2.42925e+01
 6832.8  1.29038e+01
 6833.6  1.93542e+00
 6834.3  4.41888e+00
 6835.1 -3.97250e+00
 6835.9  1.45306e+01
 6836.7  8.39226e+00
 6837.5  7.69388e+00
 6838.3  6.09639e+00
 6839.1 -8.29523e+00
 6839.9  7.55059e+00
 6840.7  1.62433e+01
 6841.5  4.90848e+00
 6842.3  1.23031e+01
 6843.1  1.81841e+01
 6843.9  5.21092e+00
 6844.7 -4.49388e+00
 6845.5 -4.20036e+00
 6846.3  4.55087e+00
 6847.0  1.52210e+01
 6847.8 -1.61835e-01
 6848.6  1.02621e+01
 6849.4  6.97109e+00
 6850.2  7.94196e+00
 6851.0  2.10112e+01
 6851.8  1.05449e+01
 6852.6  8.24736e+00
 6853.4  1.59107e+01
 6854.2  6.87855e+00
 6855.0 -9.38881e-01
 6855.8 -1.92734e-01
 6856.6  5.49710e+00
 6857.4  6.72433e+00
 6858.2  2.04958e+01
 6859.0  1.94152e+01
 6859.7  1.90447e+01
 6860.5  1.12427e+01
 6861.3  2.09236e+00
 6862.1  1.05870e+01
 6862.9  8.55719e+00
 6863.7  2.88065e+01
 6864.5 -1.00641e+00
 6865.3 -2.44323e+01
 6866.1  3.60684e+00
 6866.9  1.48723e+01
 6867.7  2.08477e+00
 6868.5 -5.55018e+00
 6869.3  1.31918e+01
 6870.1  7.57944e+00
 6870.9 -2.25311e-01
 6871.7  1.11618e+01
 6872.4  1.15934e+01
 6873.2  1.65742e+00
 6874.0 -9.82559e-01
 6874.8  1.85804e+00
 6875.6  1.93080e+00
 6876.4 -1.20454e+01
 6877.2 -1.07486e+01
 6878.0  4.91277e+00
 6878.8  4.51967e+00
 6879.6  1.05354e+01
 6880.4 -2.95610e+00
 6881.2 -1.56174e-01
 6882.0  9.83832e+00
 6882.8 -7.83363e-01
 6883.6 -2.08400e+00
 6884.4 -1.31757e+01
 6885.1  6.48278e+00
 6885.9  1.21530e+01
 6886.7  1.04853e+01
 6887.5  1.68951e+01
 6888.3  2.37808e+00
 6889.1 -9.23102e+00
 6889.9  1.32781e+01
 6890.7 -1.05703e+01
 6891.5 -3.95818e+00
 6892.3  1.77802e+01
 6893.1  2.72183e+01
 6893.9  3.77615e+00
 6894.7 -3.34126e+01
 6895.5  7.43840e+00
 6896.3  1.90068e+01
 6897.1  1.59168e+01
 6897.8  4.92073e-01
 6898.6  1.63949e+01
 6899.4  1.77157e+01
 6900.2  1.10585e+00
 6901.0  4.14066e+00
 6901.8  9.02328e-01
 6902.6 -1.12176e+01
 6903.4  1.03857e+00
 6904.2  1.41014e+01
 6905.0  2.33226e+01
 6905.8  1.17964e+01
 6906.6  5.87153e+00
 6907.4  8.56750e+00
 6908.2  4.07666e+00
 6909.0  6.65280e+00
 6909.8  9.61181e+00
 6910.5  3.77644e+00
 6911.3  1.71673e+01
 6912.1  9.60062e+00
 6912.9 -4.79218e+00
 6913.7  4.28598e+00
 6914.5  2.13615e+00
 6915.3  1.78138e+01
 6916.1 -2.78165e+00
 6916.9  3.93924e+00
 6917.7  1.06826e+01
 6918.5  1.33046e+01
 6919.3  1.58109e+01
 6920.1  2.36816e+00
 6920.9  6.90735e-01
 6921.7  9.68933e-02
 6922.5  8.44391e-01
 6923.2  1.15386e+01
 6924.0  3.00223e+00
 6924.8 -4.63324e+00
 6925.6 -4.03812e+00
 6926.4  9.03716e+00
 6927.2  1.36857e+01
 6928.0  5.51998e+00
 6928.8  1.73147e+01
 6929.6  1.59054e+01
 6930.4  1.78640e+01
 6931.2  8.83998e+00
 6932.0  2.73070e+01
 6932.8  1.45768e+01
 6933.6  7.97094e+00
 6934.4  6.96413e+00
 6935.2  1.75876e+01
 6935.9  1.20348e+01
 6936.7  2.11306e+01
 6937.5  2.69171e+01
 6938.3  1.84810e+01
 6939.1  1.33175e+01
 6939.9  6.50343e+00
 6940.7  1.24854e+00
 6941.5  8.15379e+00
 6942.3  2.71572e+00
 6943.1  1.80438e+01
 6943.9  1.10160e+01
 6944.7  6.14374e+00
 6945.5  1.58387e+01
 6946.3  1.18262e+01
 6947.1  2.96700e+01
 6947.9  2.56698e+01
 6948.6  1.22508e+01
 6949.4  1.39371e+01
 6950.2 -5.96878e+00
 6951.0 -2.84695e+01
 6951.8  1.43607e+01
 6952.6  2.54927e+01
 6953.4  8.26676e+00
 6954.2  1.82960e+01
 6955.0  1.26550e+01
 6955.8  1.15348e+01
 6956.6 -7.04102e-01
 6957.4 -6.59908e+00
 6958.2  4.62135e+00
 6959.0  1.26363e+01
 6959.8  2.60071e-01
 6960.6 -5.37549e+00
 6961.3  4.53355e+00
 6962.1  4.75198e+00
 6962.9  8.61462e+00
 6963.7  1.81527e+01
 6964.5  2.45378e+01
 6965.3  1.61747e+01
 6966.1  1.69961e+01
 6966.9  1.19406e+01
 6967.7  1.03258e+01
 6968.5  1.15342e+01
 6969.3  3.50683e+01
 6970.1  6.25188e+00
 6970.9  2.92177e+00
 6971.7  1.08933e+01
 6972.5  2.35313e+01
 6973.3  8.69675e+00
 6974.1 -6.62656e+00
 6974.8  1.86352e+01
 6975.6  2.92067e+01
 6976.4  2.32751e+01
 6977.2  1.50064e+01
 6978.0  2.19341e+01
 6978.8  2.02977e+01
 6979.6  2.46694e+01
 6980.4  6.10474e-01
 6981.2 -5.23621e+00
 6982.0  9.33674e+00
 6982.8  1.77933e+01
 6983.6  1.20504e+01
 6984.4  1.06794e+01
 6985.2  9.80054e+00
 6986.0 -5.16800e-01
 6986.8  9.02582e+00
 6987.5  7.16713e+00
 6988.3  1.27928e+01
 6989.1  1.35071e+01
 6989.9  3.21583e+00
 6990.7  1.24974e+01
 6991.5  7.34023e+00
 6992.3  1.15424e+01
 6993.1  1.56157e+01
 6993.9  6.23405e+00
 6994.7  1.98936e+01
 6995.5  1.09105e+01
 6996.3  1.11800e+01
 6997.1  6.18491e+00
 6997.9  7.64893e+00
 6998.7  9.19564e+00
 6999.5  1.44475e+01
 7000.2  1.26880e+01
 7001.0  2.11510e+00
 7001.8  5.91035e+00
 7002.6  8.95062e+00
 7003.4  7.83836e+00
 7004.2 -1.06746e+00
 7005.0  6.89624e+00
 7005.8  1.75971e+00
 7006.6  6.94541e+00
 7007.4  4.72372e+00
 7008.2  4.17632e+00
 7009.0  1.67597e+01
 7009.8  4.39191e+00
 7010.6  1.23696e+01
 7011.4  1.22397e+01
 7012.2  1.18915e+01
 7012.9  9.16064e+00
 7013.7 -5.19919e+00
 7014.5  4.39198e+00
 7015.3  5.64220e+00
 7016.1  2.46449e+00
 7016.9 -3.51021e-01
 7017.7  8.09707e+00
 7018.5  1.72724e+01
 7019.3  1.65072e+00
 7020.1  9.03577e+00
 7020.9  1.34018e+01
 7021.7  1.16557e+01
 7022.5  1.09931e+01
 7023.3  4.83184e+00
 7024.1  1.07445e+01
 7024.9  1.96263e+01
 7025.6  2.26505e+01
 7026.4  1.07339e+01
 7027.2  1.41189e+01
 7028.0  1.09960e+01
 7028.8  8.97075e+00
 7029.6  5.57037e+00
 7030.4  8.72177e-01
 7031.2  9.64410e+00
 7032.0  4.34327e+00
 7032.8 -8.43300e-01
 7033.6  1.66971e+01
 7034.4  1.15555e+01
 7035.2  1.30122e+01
 7036.0  2.33980e+01
 7036.8  1.73323e+01
 7037.6  7.02924e+00
 7038.3  6.19756e+00
